experiment,config_name,dataset,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,active_g,activation,smape,mase,mae,mse,owa,best_val_loss,final_val_loss,final_train_loss,best_epoch,epochs_trained,stopping_reason,loss_ratio,diverged,n_params,training_time_seconds,val_loss_curve
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,37,1151569214,False,ReLU,21.335800,3.025347,100387.632812,1026595946496.000000,nan,25.36400223,26.83868790,30.59874725,21,31,EARLY_STOPPED,1.058141,False,23961600,26.68,"[""182.02085876"", ""94.66028595"", ""46.82513809"", ""32.31555939"", ""32.69786072"", ""29.92598724"", ""33.18664169"", ""28.27783585"", ""26.92786980"", ""27.17461967"", ""25.73588562"", ""26.33377647"", ""25.51466751"", ""25.56132317"", ""25.70846939"", ""25.37647820"", ""25.75142670"", ""25.78759193"", ""25.63579750"", ""25.46417046"", ""25.48249626"", ""25.36400223"", ""25.48719406"", ""25.68944740"", ""26.47485733"", ""26.90836143"", ""26.80655098"", ""26.24775124"", ""26.84937096"", ""27.04658508"", ""26.90507698"", ""26.83868790""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,40,310591088,False,ReLU,21.140020,3.056465,110955.765625,1269405319168.000000,nan,25.06906700,25.78316689,31.36631775,11,21,EARLY_STOPPED,1.028485,False,23961600,19.02,"[""191.59745789"", ""112.96202087"", ""73.53031921"", ""55.53488159"", ""33.30866623"", ""36.15620804"", ""29.62116623"", ""27.23102570"", ""26.02011299"", ""26.55654907"", ""25.20510483"", ""25.06906700"", ""25.44854927"", ""25.63489342"", ""25.15576553"", ""25.10492706"", ""25.74633980"", ""26.83872223"", ""25.56955147"", ""25.37656784"", ""25.81472969"", ""25.78316689""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,38,283372547,False,ReLU,20.869549,3.010619,111125.015625,1302745448448.000000,nan,25.39132500,26.55391312,30.42269325,17,27,EARLY_STOPPED,1.045787,False,23961600,26.13,"[""190.34480286"", ""74.49295807"", ""80.07723236"", ""57.52530670"", ""34.87739563"", ""33.40354156"", ""31.02150536"", ""27.79484940"", ""27.77529144"", ""26.83548546"", ""27.46067619"", ""26.51491165"", ""25.82307434"", ""25.74719429"", ""25.97438622"", ""25.60663605"", ""25.59866524"", ""25.39132500"", ""25.42729378"", ""25.69658089"", ""25.76539612"", ""25.68080711"", ""25.74795151"", ""25.84659767"", ""26.07636452"", ""26.31621742"", ""26.54275894"", ""26.55391312""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,41,261126137,False,ReLU,21.154924,3.043298,110610.765625,1296584802304.000000,nan,25.39406395,26.81434441,29.29656601,13,23,EARLY_STOPPED,1.055930,False,23961600,21.53,"[""190.55155945"", ""118.27163696"", ""62.02191162"", ""35.12721252"", ""40.39207840"", ""32.82396317"", ""28.12531662"", ""27.88294220"", ""26.87290955"", ""25.98493385"", ""26.12791443"", ""25.87545586"", ""25.73871994"", ""25.39406395"", ""25.40315437"", ""25.82041359"", ""25.64731026"", ""25.50791740"", ""25.66407585"", ""25.75811386"", ""26.07928276"", ""26.48148155"", ""26.76189232"", ""26.81434441""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,44,1289677166,False,ReLU,20.939526,3.033169,112805.460938,1344938967040.000000,nan,25.18017960,27.43547058,30.37877083,13,23,EARLY_STOPPED,1.089566,False,23961600,20.55,"[""190.40998840"", ""104.59960938"", ""73.15341187"", ""40.92504883"", ""34.45174789"", ""38.13210297"", ""27.72947884"", ""26.70859909"", ""26.37100220"", ""26.29393578"", ""25.20408058"", ""25.20717049"", ""25.23911667"", ""25.18017960"", ""25.19394493"", ""25.63818932"", ""25.82386780"", ""25.42816353"", ""25.21652222"", ""25.54048347"", ""25.96419144"", ""25.66850471"", ""25.52245522"", ""27.43547058""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,42,185643538,False,ReLU,20.659649,2.973557,103759.085938,1145597067264.000000,nan,25.19308662,27.08395958,29.88933563,16,26,EARLY_STOPPED,1.075055,False,23961600,23.49,"[""186.33746338"", ""72.60186005"", ""38.69403839"", ""36.71022797"", ""32.13174438"", ""33.47870255"", ""29.75968170"", ""27.00511742"", ""26.73875046"", ""27.28890228"", ""26.53032875"", ""26.09816551"", ""25.51712990"", ""25.70294952"", ""25.55611038"", ""25.37314987"", ""25.19308662"", ""25.39469528"", ""25.57992363"", ""25.70429993"", ""25.54952431"", ""26.08228302"", ""26.23300934"", ""26.03863144"", ""26.53032875"", ""27.07431984"", ""27.08395958""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,45,482063665,False,ReLU,21.313900,3.073213,114583.093750,1402354925568.000000,nan,25.14991760,26.82388687,30.19851112,17,27,EARLY_STOPPED,1.066560,False,23961600,24.64,"[""196.07426453"", ""134.74716187"", ""85.49458313"", ""50.74644089"", ""35.06110382"", ""33.35556793"", ""28.03929520"", ""27.05503082"", ""26.53097153"", ""26.87327194"", ""25.52568626"", ""26.68603325"", ""25.75274658"", ""25.27747536"", ""25.64020538"", ""25.19467735"", ""25.21590233"", ""25.14991760"", ""25.63138390"", ""25.61440849"", ""25.90471840"", ""25.89705849"", ""26.00096130"", ""25.90968704"", ""25.79691315"", ""25.85514259"", ""28.02148247"", ""26.82388687""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,43,393119101,False,ReLU,21.008091,3.038728,110109.273438,1278631084032.000000,nan,25.44299126,27.50383949,29.54369545,23,33,EARLY_STOPPED,1.080999,False,23961600,28.68,"[""193.15879822"", ""115.01226807"", ""59.16925049"", ""36.86382675"", ""39.25091553"", ""31.27236366"", ""34.38613129"", ""29.61983681"", ""27.38788414"", ""28.25817680"", ""25.76602364"", ""25.72171402"", ""25.88866425"", ""26.23135757"", ""26.16424179"", ""25.85338402"", ""25.85402107"", ""25.50335884"", ""25.48283577"", ""26.01690674"", ""26.01867294"", ""26.01432228"", ""25.72166061"", ""25.44299126"", ""25.71971130"", ""26.04307556"", ""26.32113457"", ""26.61571503"", ""26.89060020"", ""26.81349754"", ""26.64471054"", ""26.71783257"", ""27.23024178"", ""27.50383949""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,46,1508055504,False,ReLU,20.281956,2.978372,117575.515625,1562606305280.000000,nan,25.09453011,25.81837082,31.73008347,13,23,EARLY_STOPPED,1.028845,False,23961600,21.85,"[""193.08549500"", ""153.37930298"", ""103.90928650"", ""77.42098236"", ""50.78509521"", ""36.34265518"", ""29.71690559"", ""28.95361137"", ""27.63882065"", ""26.94805908"", ""27.15588188"", ""26.48930168"", ""25.32554054"", ""25.09453011"", ""25.43739891"", ""25.61273193"", ""25.47570992"", ""25.83507347"", ""25.87079430"", ""25.57767677"", ""25.46761703"", ""25.43905449"", ""25.63875580"", ""25.81837082""]"
convergence_study,Generic30_baseline,tourism,Tourism-Yearly,1,4,8,30,1,True,49,1557661037,False,ReLU,21.331205,3.111319,121940.257812,1523823280128.000000,nan,24.75140572,25.79447365,32.16701889,12,22,EARLY_STOPPED,1.042142,False,23961600,19.58,"[""194.74674988"", ""133.07278442"", ""80.91726685"", ""49.90754700"", ""36.86028290"", ""33.75757217"", ""31.29859924"", ""27.25086784"", ""25.87884140"", ""25.90673256"", ""25.95344543"", ""25.25634384"", ""24.75140572"", ""25.17705536"", ""26.06301308"", ""25.61125755"", ""25.21847153"", ""25.83488846"", ""25.47428513"", ""25.50409698"", ""25.35958862"", ""25.48074150"", ""25.79447365""]"
