experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,forecast_multiplier,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Yearly,1,6,36,6,2,3,True,2,44,13.593637,3.119980,,,0.808460,12954885,20.45,22,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Yearly,1,6,42,7,2,3,True,0,42,13.728067,3.142397,,,0.815394,12980997,18.02,22,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Yearly,1,6,42,7,2,3,True,1,43,13.500236,3.079607,,,0.800523,12980997,22.79,27,False,False,ReLU,
ensemble,NBEATS-I,"['Trend', 'Seasonality']",Yearly,1,6,42,7,2,3,True,2,44,13.862224,3.221266,,,0.829421,12980997,29.17,35,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,12,2,30,1,True,0,42,13.372951,3.074138,,,0.795940,35357957,65.74,13,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,12,2,30,1,True,1,43,13.335440,3.041151,,,0.790642,35357957,60.08,12,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,12,2,30,1,True,2,44,13.326868,3.035363,,,0.789652,35357957,114.45,23,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,18,3,30,1,True,0,42,13.240753,2.997121,,,0.782205,35556101,54.72,15,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,18,3,30,1,True,1,43,13.332354,3.032291,,,0.789433,35556101,49.11,12,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,18,3,30,1,True,2,44,13.421196,3.101028,,,0.800800,35556101,61.20,15,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,24,4,30,1,True,0,42,13.436996,3.063697,,,0.796586,35754245,35.02,12,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,24,4,30,1,True,1,43,13.299842,3.021902,,,0.787131,35754245,44.53,15,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,24,4,30,1,True,2,44,13.804193,3.210434,,,0.826283,35754245,67.31,23,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,30,5,30,1,True,0,42,13.510318,3.100486,,,0.803458,35952389,41.95,18,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,30,5,30,1,True,1,43,13.488129,3.103861,,,0.803204,35952389,36.82,16,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,30,5,30,1,True,2,44,13.655885,3.181564,,,0.818113,35952389,45.14,20,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,36,6,30,1,True,0,42,13.745191,3.206742,,,0.824013,36150533,30.11,16,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,36,6,30,1,True,1,43,13.708467,3.193502,,,0.821224,36150533,28.75,15,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,36,6,30,1,True,2,44,13.666062,3.108510,,,0.809233,36150533,43.78,24,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,42,7,30,1,True,0,42,13.576367,3.090281,,,0.804195,36348677,23.70,14,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,42,7,30,1,True,1,43,13.895310,3.225717,,,0.830994,36348677,31.36,19,False,False,ReLU,
ensemble,NBEATS-I+G,"['Trend', 'Seasonality', 'Generic']",Yearly,1,6,42,7,30,1,True,2,44,13.504580,3.109709,,,0.804443,36348677,32.38,19,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,16,2,30,1,True,0,42,9.871430,1.136785,,,0.862795,24268800,381.39,12,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,16,2,30,1,True,1,43,9.843949,1.130026,,,0.859082,24268800,456.76,14,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,16,2,30,1,True,2,44,9.848631,1.129368,,,0.859055,24268800,525.65,16,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,24,3,30,1,True,0,42,9.931384,1.137783,,,0.865881,24514560,361.27,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,24,3,30,1,True,1,43,9.889504,1.129975,,,0.861132,24514560,457.37,16,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,24,3,30,1,True,2,44,9.985326,1.156883,,,0.875296,24514560,401.04,14,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,32,4,30,1,True,0,42,9.995440,1.146114,,,0.871828,24760320,321.01,13,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,32,4,30,1,True,1,43,10.045170,1.150091,,,0.875536,24760320,369.67,15,False,False,ReLU,
ensemble,NBEATS-G,['Generic'],Quarterly,4,8,32,4,30,1,True,2,44,10.122489,1.174590,,,0.887982,24760320,327.10,13,False,False,ReLU,
