experiment,config_name,stack_types,period,frequency,forecast_length,backcast_length,n_stacks,n_blocks_per_stack,share_weights,run,seed,smape,mase,mae,mse,owa,n_params,training_time_seconds,epochs_trained,active_g,sum_losses,activation,stopping_reason
ablation,Generic_LeakyReLU,['Generic'],Yearly,1,6,30,30,1,True,4,46,13.574932,3.109249,,,0.806538,24668160,27.73,15,False,False,LeakyReLU,
ablation,Generic_SELU,['Generic'],Yearly,1,6,30,30,1,True,0,42,13.913171,3.223607,,,0.831275,24668160,49.83,28,False,False,SELU,
ablation,Generic_SELU,['Generic'],Yearly,1,6,30,30,1,True,1,43,13.571850,3.108051,,,0.806293,24668160,41.21,23,False,False,SELU,
ablation,Generic_SELU,['Generic'],Yearly,1,6,30,30,1,True,2,44,13.717077,3.188426,,,0.820849,24668160,28.63,16,False,False,SELU,
ablation,Generic_SELU,['Generic'],Yearly,1,6,30,30,1,True,3,45,13.553822,3.133314,,,0.808920,24668160,27.61,15,False,False,SELU,
ablation,Generic_SELU,['Generic'],Yearly,1,6,30,30,1,True,4,46,13.769380,3.217236,,,0.826074,24668160,30.16,17,False,False,SELU,
ablation,Generic_baseline,['Generic'],Quarterly,4,8,40,30,1,True,0,42,10.145321,1.173334,,,0.888560,25006080,214.33,12,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Quarterly,4,8,40,30,1,True,1,43,10.335802,1.192058,,,0.904038,25006080,303.38,17,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Quarterly,4,8,40,30,1,True,2,44,10.337298,1.213713,,,0.912003,25006080,233.57,13,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Quarterly,4,8,40,30,1,True,3,45,10.176388,1.180152,,,0.892457,25006080,250.06,14,False,False,ReLU,
ablation,Generic_baseline,['Generic'],Quarterly,4,8,40,30,1,True,4,46,10.162089,1.169894,,,0.888067,25006080,217.05,12,False,False,ReLU,
ablation,Generic_activeG,['Generic'],Quarterly,4,8,40,30,1,True,0,42,10.253829,1.207294,,,0.905872,25006080,226.58,12,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Quarterly,4,8,40,30,1,True,1,43,10.430894,1.223431,,,0.919797,25006080,225.69,12,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Quarterly,4,8,40,30,1,True,2,44,10.245230,1.194279,,,0.900735,25006080,206.44,11,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Quarterly,4,8,40,30,1,True,3,45,10.359498,1.221049,,,0.915686,25006080,242.70,13,True,False,ReLU,
ablation,Generic_activeG,['Generic'],Quarterly,4,8,40,30,1,True,4,46,10.319116,1.199657,,,0.906051,25006080,225.13,12,True,False,ReLU,
ablation,Generic_sumLosses,['Generic'],Quarterly,4,8,40,30,1,True,0,42,10.286281,1.177850,,,0.896607,25006080,403.22,22,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Quarterly,4,8,40,30,1,True,1,43,10.139083,1.182050,,,0.891455,25006080,350.92,19,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Quarterly,4,8,40,30,1,True,2,44,10.150417,1.174522,,,0.889225,25006080,293.59,16,False,True,ReLU,
ablation,Generic_sumLosses,['Generic'],Quarterly,4,8,40,30,1,True,3,45,10.228886,1.199450,,,0.901879,25006080,444.89,24,False,True,ReLU,
